Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
301        17              597.655           605.929           597.655           217.516           0                 
302        66              598.292           606.608           598.292           161.896           0                 
303        94              600.524           608.854           600.524           140.647           0                 
304        207             606.052           614.55            606.052           85.296            0                 
305        410             639.195           648.085           639.195           947.257           0                 
306        137             648.787           657.789           648.787           659.645           0                 
307        303             669.275           678.571           669.275           353.252           0                 
308        284             704.73            714.516           704.73            335.412           0                 
309        289             766.127           776.865           766.127           92.298            0                 
310        226             782.258           793.15            782.258           556.039           0                 
311        344             799.355           810.485           799.355           517.832           0                 
312        383             799.839           811.039           799.839           498.899           0                 
313        371             853.001           864.873           853.001           227.155           0                 
314        391             861.935           873.919           861.935           340.556           0                 
315        218             874.476           886.642           874.476           799.151           0                 
316        281             881.386           893.636           881.386           758.89            0                 
317        158             898.35            910.852           898.35            173.388           0                 
318        156             900.364           912.88            900.364           688.779           0                 
319        397             918.143           930.939           918.143           742.49            0                 
320        424             944.054           957.214           944.054           1188.02           0                 
321        430             944.139           957.299           944.139           1591.26           0                 
322        335             964.277           977.717           964.277           305.343           0                 
323        92              984.77            998.49            984.77            488.002           0                 
324        36              1009.1            1023.14           1009.1            387.667           0                 
325        453             1031.41           1045.77           1031.41           1122.89           0                 
326        113             1035.71           1050.13           1035.71           731.77            0                 
327        198             1063.78           1078.59           1063.78           738.429           0                 
328        388             1065.75           1080.59           1065.75           384.146           0                 
329        440             1136.4            1152.22           1136.4            1123.46           0                 
330        365             1165.48           1181.72           1165.48           357.597           0                 
331        38              1175.97           1192.35           1175.97           240.809           0                 
332        89              1218.22           1235.19           1218.22           885.656           0                 
333        206             1238.38           1255.64           1238.38           504.592           0                 
334        249             1265.57           1283.22           1265.57           1364.01           0                 
335        345             1298.1            1316.19           1298.1            516.242           0                 
336        403             1363.82           1382.83           1363.82           1511.21           0                 
337        372             1420.97           1440.8            1420.97           586.193           0                 
338        222             1447.32           1467.52           1447.32           1540.31           0                 
339        62              1467.3            1487.69           1467.3            2199.01           0                 
340        16              1478.03           1498.65           1478.03           398.48            0                 
341        119             1489.42           1510.28           1489.42           323.718           0                 
342        418             1507.72           1528.83           1507.72           312.262           0                 
343        252             1514.39           1535.45           1514.39           1595.58           0                 
344        370             1550.33           1571.96           1550.33           1049.97           0                 
345        70              1559.45           1581.13           1559.45           1573.53           0                 
346        296             1568.46           1590.35           1568.46           946.728           0                 
347        129             1626.79           1649.57           1626.79           1570.75           0                 
348        117             1649.25           1672.26           1649.25           358.44            0                 
349        359             1656.45           1679.65           1656.45           269.982           0                 
350        47              1667.01           1690.29           1667.01           1506.01           0                 
351        341             1680.13           1703.57           1680.13           447.613           0                 
352        264             1707.74           1731.57           1707.74           1479.4            0                 
353        272             1781.52           1806.37           1781.52           1728.37           0                 
354        67              1802.51           1827.66           1802.51           1965.52           0                 
355        26              1832.82           1858.4            1832.82           239.785           0                 
356        102             1844.89           1870.64           1844.89           1454.24           0                 
357        99              1871.97           1898.08           1871.97           1212.41           0                 
358        323             1873.47           1899.64           1873.47           591.642           0                 
359        60              1876.42           1902.55           1876.42           1935.28           0                 
360        184             1877.29           1903.51           1877.29           860.308           0                 
361        417             1881.47           1907.72           1881.47           2112.46           0                 
362        464             1943.31           1970.53           1943.31           398.942           0                 
363        271             1973.37           2001.01           1973.37           699.958           0                 
364        169             1984.74           2012.43           1984.74           1399.75           0                 
365        326             1999.17           2027.08           1999.17           763.282           0                 
366        191             2021.23           2049.47           2021.23           706.126           0                 
367        221             2135.29           2165.2            2135.29           1912.21           0                 
368        75              2173.67           2204.01           2173.67           2164.62           0                 
369        120             2184.46           2215.05           2184.46           348.282           0                 
370        69              2238.78           2270.01           2238.78           1800.72           0                 
371        37              2430.54           2464.49           2430.54           1046.51           0                 
372        157             2455.9            2490.19           2455.9            2385.05           0                 
373        458             2499.66           2534.51           2499.66           1323.83           0                 
374        228             2569.89           2605.8            2569.89           1561.01           0                 
375        100             2573.05           2609              2573.05           1211.17           0                 
376        87              2627.77           2664.45           2627.77           2794.9            0                 
377        130             2655.26           2692.33           2655.26           1855.6            0                 
378        350             2664.18           2701.38           2664.18           582.263           0                 
379        292             2767.89           2806.57           2767.89           524.985           0                 
380        375             2802.45           2841.61           2802.45           692.208           0                 
381        23              2821.73           2861.17           2821.73           606.251           0                 
382        286             2892.61           2933.01           2892.61           884.823           0                 
383        259             2939.69           2980.76           2939.69           1965.11           0                 
384        201             2962.85           3004.22           2962.85           1444.44           0                 
385        332             3026.35           3068.6            3026.35           872.275           0                 
386        447             3044.6            3087.12           3044.6            2226.44           0                 
387        138             3051.5            3094.11           3051.5            2054.01           0                 
388        428             3056.15           3098.83           3056.15           2490.42           0                 
389        135             3350.15           3397.06           3350.15           416.549           0                 
390        52              3353.69           3400.52           3353.69           2629.89           0                 
391        239             3613.28           3663.8            3613.28           1739.66           0                 
392        429             3636.44           3687.26           3636.44           2665.19           0                 
393        240             3714.78           3766.71           3714.78           2434.61           0                 
394        297             3766.84           3819.48           3766.84           1583.37           0                 
395        405             3794.05           3847.08           3794.05           2370.33           0                 
396        330             3825.01           3878.58           3825.01           538.902           0                 
397        449             4043.59           4100.11           4043.59           2655.55           0                 
398        197             4054.22           4110.91           4054.22           1974.87           0                 
399        13              4116.19           4173.73           4116.19           1225.49           0                 
400        431             4222.19           4281.23           4222.19           3280.67           0                 
401        373             4352.51           4413.34           4352.51           2558.8            0                 
402        73              4400.26           4461.78           4400.26           3204.25           0                 
403        260             4445.63           4507.76           4445.63           2494.26           0                 
404        93              4590.33           4654.42           4590.33           3257.57           0                 
405        402             4606.57           4670.98           4606.57           1427.65           0                 
406        300             4632.43           4697.29           4632.43           654.278           0                 
407        71              4652.98           4717.99           4652.98           3389.35           0                 
408        49              4686.6            4752.13           4686.6            3681.98           0                 
409        432             4691.64           4757.16           4691.64           3011.6            0                 
410        413             4738.56           4804.75           4738.56           2814.3            0                 
411        433             4748.21           4814.6            4748.21           3094.6            0                 
412        374             4754.52           4821              4754.52           2005.07           0                 
413        151             4781.64           4848.44           4781.64           2255.44           0                 
414        172             4841.32           4909.03           4841.32           2225.41           0                 
415        460             4881.14           4949.28           4881.14           2455.73           0                 
416        346             4894.78           4963.04           4894.78           1942.95           0                 
417        462             4987.98           5057.72           4987.98           2290.62           0                 
418        77              5055.13           5125.8            5055.13           3111.13           0                 
419        86              5064.02           5134.88           5064.02           4031.34           0                 
420        76              5110.61           5182.07           5110.61           3858.16           0                 
421        421             5632.83           5711.69           5632.83           3189.86           0                 
422        420             6310.08           6398.34           6310.08           4082.62           0                 
423        147             6391.53           6480.9            6391.53           2648.06           0                 
424        180             6462.82           6553.23           6462.82           3436.28           0                 
425        251             6557.97           6649.53           6557.97           3106.86           0                 
426        14              6647.79           6740.75           6647.79           1805.86           0                 
427        42              6692.3            6785.94           6692.3            4441.78           0                 
428        50              6801.4            6896.55           6801.4            4392.4            0                 
429        110             6808.46           6903.72           6808.46           2721.22           0                 
430        255             6899.18           6995.78           6899.18           1061.86           0                 
431        141             7238.43           7339.66           7238.43           3008.77           0                 
432        51              7251.29           7352.66           7251.29           4536.14           0                 
433        174             7521.13           7626.34           7521.13           2670.5            0                 
434        164             7848.47           7958.26           7848.47           2856.64           0                 
435        232             8104.18           8217.54           8104.18           2841.3            0                 
436        355             8421              8538.84           8421              1401.77           0                 
437        443             8426.66           8544.55           8426.66           3870.54           0                 
438        229             8443.28           8561.4            8443.28           3000.62           0                 
439        3               8523.36           8642.61           8523.36           2404.72           0                 
440        9               8578.86           8698.87           8578.86           3806.02           0                 
441        98              8634.66           8755.47           8634.66           2450.42           0                 
442        343             8687.15           8808.69           8687.15           3922.2            0                 
443        216             8805.28           8928.47           8805.28           2915.44           0                 
444        334             8883.4            9007.69           8883.4            4043.25           0                 
445        78              9265.46           9395.1            9265.46           4875.54           0                 
446        58              9397.51           9528.99           9397.51           4578.77           0                 
447        353             9399.69           9531.2            9399.69           2479.34           0                 
448        347             9417.37           9548.9            9417.37           2793.47           0                 
449        85              9467.94           9600.39           9467.94           4734.82           0                 
450        115             9943.55           10082.7           9943.55           4577.35           0                 
451        407             10818             10969.4           10818             4788.13           0                 
452        215             14623.1           14827.4           14623.1           3688.06           0                 
453        224             15444.9           15661.1           15444.9           5083.38           0                 
454        392             15853.1           16074.9           15853.1           5167.77           0                 
455        186             16876.7           17113             16876.7           1906.13           0                 
456        274             16917.6           17154.3           16917.6           4162.65           0                 
457        63              17405.7           17649.3           17405.7           5481.91           0                 
458        404             21292.4           21590.4           21292.4           4883.79           0                 
459        444             22413.2           22726.9           22413.2           5029.9            0                 
460        131             24901             25249.6           24901             5668.23           0                 
461        90              27361             27744             27361             6668.65           0                 
462        170             28761.2           29163.8           28761.2           4709.4            0                 
463        2               29283             29692.9           29283             5298.25           0                 
avg_fct 820.382106
avg_fct_small 177.249625
avg_fct_large 3793.084870
99_small_fct 48.082000
99_fct 5029.904000
flow_cnt 464
small_flow_cnt 232
large_flow_cnt 46
max_small_flow_index 232
min_large_flow_index 417
99_small_flow_index 229
99_flow_index 459
