Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
239        142             75.704            75.704            75.704            18.728            0                 
240        53              76.395            76.395            76.395            18.965            0                 
241        65              76.523            76.523            76.523            18.791            0                 
242        457             76.686            76.686            76.686            19.009            0                 
243        364             76.762            76.762            76.762            38.324            0                 
244        461             76.86             76.86             76.86             19.879            0                 
245        195             77.197            77.197            77.197            14.907            0                 
246        299             78.171            78.171            78.171            18.927            0                 
247        301             78.434            78.434            78.434            24.633            0                 
248        46              78.511            78.511            78.511            19.021            0                 
249        153             79.943            79.943            79.943            14.957            0                 
250        15              81.385            81.385            81.385            19.438            0                 
251        309             81.631            81.631            81.631            19.213            0                 
252        33              85.074            85.074            85.074            26.635            0                 
253        282             86.9              86.9              86.9              15.815            0                 
254        122             96.429            96.429            96.429            33.618            0                 
255        367             98.985            98.985            98.985            29.431            0                 
256        208             100.994           100.994           100.994           16.705            0                 
257        438             112.954           112.954           112.954           22.347            0                 
258        265             117.236           117.236           117.236           22.464            0                 
259        385             121.26            121.26            121.26            25.981            0                 
260        40              132.923           132.923           132.923           24.333            0                 
261        199             134.755           134.755           134.755           23.754            0                 
262        166             144.828           144.828           144.828           20.425            0                 
263        304             162.378           162.378           162.378           22.947            0                 
264        59              163.335           163.335           163.335           28.777            0                 
265        161             164.3             164.3             164.3             50.359            0                 
266        136             165.797           165.797           165.797           26.327            0                 
267        293             172.797           172.797           172.797           40.391            0                 
268        107             174.282           174.282           174.282           30.774            0                 
269        459             174.482           174.482           174.482           38.955            0                 
270        363             180.808           180.808           180.808           37.414            0                 
271        328             180.878           180.878           180.878           44.231            0                 
272        280             181.724           181.724           181.724           24.795            0                 
273        72              183.555           183.555           183.555           23.92             0                 
274        203             183.744           183.744           183.744           26.814            0                 
275        288             183.889           183.889           183.889           28.65             0                 
276        339             190.182           190.182           190.182           44.253            0                 
277        177             192.258           192.258           192.258           24.6              0                 
278        401             192.565           192.565           192.565           24.372            0                 
279        237             193.966           193.966           193.966           34.247            0                 
280        399             194.534           194.534           194.534           28.992            0                 
281        194             197.9             197.9             197.9             29.504            0                 
282        81              203.243           203.243           203.243           37.574            0                 
